Landsat Product Identifier L2,Date Acquired,Scene Cloud Cover L1,Scene Center Latitude,Scene Center Longitude
LC08_L2SP_201035_20220304_20220314_02_T1,2022/03/04,35.69,36.04332,-5.12188
LC08_L2SP_201035_20220320_20220329_02_T1,2022/03/20,53.9,36.04323,-5.1231
LC09_L2SP_201035_20220328_20230423_02_T1,2022/03/28,100.0,36.0432,-5.12677
LC08_L2SP_201035_20220405_20220412_02_T1,2022/04/05,72.99,36.04344,-5.13599
LC09_L2SP_201035_20220413_20230422_02_T1,2022/04/13,14.19,36.04313,-5.14185
LC08_L2SP_201035_20220421_20220428_02_T1,2022/04/21,9.05,36.04336,-5.1293
LC09_L2SP_201035_20220429_20230418_02_T1,2022/04/29,22.86,36.04303,-5.14876
LC08_L2SP_201035_20220507_20220512_02_T1,2022/05/07,3.75,36.04303,-5.11242
LC09_L2SP_201035_20220515_20230416_02_T1,2022/05/15,12.64,36.04307,-5.14817
LC08_L2SP_201035_20220523_20220525_02_T1,2022/05/23,11.61,36.04303,-5.10309
LC09_L2SP_201035_20220531_20230414_02_T1,2022/05/31,3.89,36.04349,-5.11904
LC08_L2SP_201035_20220608_20220616_02_T1,2022/06/08,11.13,36.04344,-5.11649
LC09_L2SP_201035_20220616_20230411_02_T1,2022/06/16,36.72,36.04348,-5.1118
LC08_L2SP_201035_20220624_20220706_02_T1,2022/06/24,11.75,36.04338,-5.12394
LC09_L2SP_201035_20220702_20230409_02_T1,2022/07/02,59.25,36.04344,-5.13615
LC08_L2SP_201035_20220710_20220722_02_T1,2022/07/10,5.52,36.04307,-5.10143
LC09_L2SP_201035_20220718_20230407_02_T1,2022/07/18,2.7,36.04309,-5.10169
LC08_L2SP_201035_20220726_20220802_02_T1,2022/07/26,1.37,36.04345,-5.11135
LC09_L2SP_201035_20220803_20230404_02_T1,2022/08/03,10.91,36.04321,-5.12844
LC08_L2SP_201035_20220811_20220818_02_T1,2022/08/11,37.91,36.04332,-5.12718
LC09_L2SP_201035_20220819_20230402_02_T1,2022/08/19,11.15,36.04349,-5.13212
LC08_L2SP_201035_20220827_20220909_02_T1,2022/08/27,10.2,36.0434,-5.11901
LC09_L2SP_201035_20220904_20230330_02_T1,2022/09/04,0.2,36.0435,-5.1121
LC08_L2SP_201035_20220912_20220922_02_T1,2022/09/12,91.59,36.04314,-5.12786
LC09_L2SP_201035_20220920_20230328_02_T1,2022/09/20,27.18,36.0432,-5.11827
LC08_L2SP_201035_20220928_20221005_02_T1,2022/09/28,3.63,36.0434,-5.12846
LC09_L2SP_201035_20221006_20230326_02_T1,2022/10/06,13.67,36.04331,-5.10679
LC08_L2SP_201035_20221014_20221020_02_T1,2022/10/14,10.14,36.04323,-5.09039
LC09_L2SP_201035_20221022_20230325_02_T1,2022/10/22,88.67,36.04318,-5.12613
LC08_L2SP_201035_20221030_20221108_02_T1,2022/10/30,78.3,36.04347,-5.12897
LC09_L2SP_201035_20221107_20230323_02_T1,2022/11/07,0.21,36.04316,-5.11559
LC08_L2SP_201035_20221115_20221122_02_T1,2022/11/15,83.03,36.04316,-5.11052
LC09_L2SP_201035_20221123_20230320_02_T1,2022/11/23,47.15,36.04346,-5.11837
LC08_L2SP_201035_20221201_20221206_02_T1,2022/12/01,99.05,36.04313,-5.12446
LC09_L2SP_201035_20221209_20230318_02_T2,2022/12/09,72.47,36.04324,-5.11742
LC08_L2SP_201035_20221217_20221227_02_T1,2022/12/17,45.87,36.04339,-5.10933
LC09_L2SP_201035_20221225_20230317_02_T1,2022/12/25,7.33,36.04305,-5.11118
LC08_L2SP_201035_20230102_20230111_02_T1,2023/01/02,54.59,36.04343,-5.11463
LC09_L2SP_201035_20230110_20230314_02_T1,2023/01/10,8.84,36.04329,-5.12706
LC08_L2SP_201035_20230118_20230131_02_T1,2023/01/18,12.0,36.04314,-5.09992
LC09_L2SP_201035_20230126_20230313_02_T1,2023/01/26,3.85,36.04336,-5.12974
LC08_L2SP_201035_20230203_20230209_02_T1,2023/02/03,5.99,36.04332,-5.14949
LC09_L2SP_201035_20230211_20230310_02_T1,2023/02/11,48.49,36.04312,-5.17422
LC08_L2SP_201035_20230219_20230224_02_T1,2023/02/19,73.6,36.04323,-5.13114
LC09_L2SP_201035_20230227_20230308_02_T1,2023/02/27,9.29,36.04326,-5.13745
LC08_L2SP_201035_20230307_20230316_02_T1,2023/03/07,86.55,36.04308,-5.11842
LC09_L2SP_201035_20230315_20230317_02_T1,2023/03/15,0.55,36.0435,-5.13627
LC08_L2SP_201035_20230323_20230404_02_T1,2023/03/23,1.13,36.04332,-5.11965
LC09_L2SP_201035_20230331_20230402_02_T1,2023/03/31,7.9,36.0432,-5.12
LC08_L2SP_201035_20230408_20230420_02_T1,2023/04/08,1.1,36.04305,-5.11218
LC09_L2SP_201035_20230416_20230418_02_T1,2023/04/16,0.15,36.04313,-5.13111
LC08_L2SP_201035_20230424_20230501_02_T1,2023/04/24,0.2,36.04315,-5.13472
LC09_L2SP_201035_20230502_20230504_02_T1,2023/05/02,56.42,36.04347,-5.13236
LC08_L2SP_201035_20230510_20230518_02_T1,2023/05/10,2.65,36.04344,-5.13906
LC09_L2SP_201035_20230518_20230520_02_T1,2023/05/18,77.21,36.04328,-5.14599
LC08_L2SP_201035_20230526_20230603_02_T1,2023/05/26,42.67,36.04321,-5.1039
LC09_L2SP_201035_20230603_20230605_02_T1,2023/06/03,11.97,36.04326,-5.16182
LC08_L2SP_201035_20230611_20230614_02_T1,2023/06/11,4.85,36.04301,-5.10151
LC09_L2SP_201035_20230619_20230621_02_T1,2023/06/19,28.83,36.04301,-5.11842
LC08_L2SP_201035_20230627_20230710_02_T1,2023/06/27,7.11,36.04333,-5.09959
LC09_L2SP_201035_20230705_20230708_02_T1,2023/07/05,23.82,36.04309,-5.13167
LC08_L2SP_201035_20230713_20230724_02_T1,2023/07/13,1.74,36.04316,-5.10591
